"listener"	"artist_name"	"album_name"	"song_name"	"artist_popularity"	"album_popularity"	"song_popularity"	"acousticness"	"danceability"	"energy"	"instrumentalness"	"liveness"	"loudness"	"speechiness"	"tempo"	"valence"
"1"	64	"P!nk"	"Walk Me Home"	"Walk Me Home"	88	77	86	0.0519	0.652	0.453	0	0.179	-6.119	0.0445	88.038	0.432
"2"	62	"Belinda Carlisle"	"Greatest Vol.1 - Belinda Carlisle"	"Heaven Is a Place on Earth"	65	64	71	0.0243	0.64	0.852	1.82e-06	0.0497	-8.119	0.0345	122.902	0.793
"3"	61	"Travis"	"The Man Who"	"Why Does It Always Rain On Me?"	63	49	57	0.079	0.497	0.537	0.000139	0.0782	-9.264	0.0269	108.448	0.371
"4"	51	"Freya Ridings"	"Castles"	"Castles"	69	51	60	0.0046	0.672	0.752	0.00047	0.056	-4.866	0.0843	116.945	0.429
"5"	53	"Stephen Puth"	"Sexual Vibe"	"Sexual Vibe"	56	54	63	0.0191	0.803	0.782	4.7e-06	0.108	-3.873	0.0289	115.028	0.785
"6"	56	"Adam Lambert"	"New Eyes"	"New Eyes"	67	56	64	0.502	0.575	0.573	6.74e-06	0.411	-6.73	0.0253	84.014	0.434
"7"	57	"Cage The Elephant"	"Ready To Let Go"	"Ready To Let Go"	79	61	69	0.0109	0.72	0.893	2.52e-05	0.0729	-3.279	0.0376	100.96	0.795
"8"	55	"Jonas Brothers"	"Sucker"	"Sucker"	86	86	95	0.0427	0.842	0.734	0	0.106	-5.065	0.0588	137.958	0.952
"9"	54	"Bastille"	"Doom Days"	"Joy"	85	0	0	0.197	0.555	0.923	0	0.0778	-4.748	0.161	118.007	0.363
"10"	54	"Stereophonics"	"Keep The Village Alive (Deluxe) [Deluxe Edition]"	"I Wanna Get Lost With You"	68	54	49	0.0103	0.501	0.879	0.000314	0.149	-3.551	0.0353	126.034	0.64
"11"	49	"The Black Keys"	"Lo/Hi"	"Lo/Hi"	78	63	71	0.015	0.606	0.679	0.000427	0.234	-7.445	0.0321	122.012	0.705
"12"	48	"Bonnie Tyler"	"Ravishing - The Best Of"	"Holding Out for a Hero"	70	59	65	0.0159	0.575	0.811	4.37e-06	0.0902	-10.981	0.0401	149.671	0.873
"13"	44	"Madonna"	"Hard Candy"	"Give It 2 Me"	82	52	56	0.0933	0.837	0.954	0.000405	0.143	-3.512	0.0414	127.019	0.972
"14"	50	"Train"	"Save Me, San Francisco (Golden Gate Edition)"	"If It's Love"	78	75	50	0.0108	0.628	0.917	2.25e-06	0.306	-3.489	0.144	94.988	0.638
"15"	51	"Beyoncé"	"I AM...SASHA FIERCE"	"Halo"	93	72	77	0.272	0.508	0.72	0	0.0563	-5.908	0.0628	79.983	0.472
"16"	54	"John Lundvik"	"My Turn"	"Too Late For Love"	67	45	39	0.197	0.401	0.746	0	0.0657	-4.155	0.0734	104.252	0.417
"17"	52	"Kelly Clarkson"	"Broken & Beautiful (from the movie UGLYDOLLS)"	"Broken & Beautiful (from the movie UGLYDOLLS)"	79	64	73	0.0823	0.73	0.732	0	0.0757	-2.556	0.0366	112.058	0.546
"18"	54	"Spin Doctors"	"Pocket Full Of Kryptonite"	"Two Princes"	63	63	71	0.00162	0.543	0.912	2.1e-06	0.0565	-10.71	0.0601	103.731	0.836
"19"	49	"Michael Jackson"	"HIStory - PAST, PRESENT AND FUTURE - BOOK I"	"They Don't Care About Us"	85	70	67	0.205	0.859	0.905	0.00825	0.322	-5.539	0.129	89.945	0.73
"20"	47	"Liam Gallagher"	"Shockwave"	"Shockwave"	65	57	65	7.56e-06	0.434	0.891	0	0.257	-3.238	0.0439	123.958	0.39
"21"	46	"Adele"	"21"	"Rolling in the Deep"	85	76	74	0.138	0.73	0.77	0	0.0473	-5.114	0.0298	104.948	0.507
"22"	51	"Ricky Martin"	"A Medio Vivir"	"María"	76	59	53	0.0726	0.723	0.914	2.12e-05	0.95	-5.598	0.0663	101.181	0.968
"23"	49	"WALK THE MOON"	"Timebomb"	"Timebomb"	74	58	67	0.000276	0.583	0.778	0	0.621	-4.766	0.0403	122.053	0.446
"24"	45	"Kylie Minogue"	"Fever"	"Can't Get You out of My Head"	71	63	70	0.0263	0.766	0.563	0.683	0.115	-7.516	0.0339	126.007	0.964
"25"	47	"Ed Sheeran"	"I Don't Care (with Justin Bieber)"	"I Don't Care (with Justin Bieber)"	96	90	98	0.0912	0.798	0.675	0	0.0894	-5.041	0.0442	101.956	0.842
"26"	48	"Lenka"	"Two (Expanded Edition)"	"Everything at Once"	55	39	44	0.332	0.766	0.466	0.00378	0.379	-8.036	0.0718	145.003	0.839
"27"	46	"The Jayhawks"	"Tomorrow The Green Grass (Legacy Edition)"	"Bad Time"	51	39	34	0.0533	0.64	0.802	0	0.0691	-6.79	0.0413	127.672	0.769
"28"	46	"Bad Suns"	"Mystic Truth"	"One Magic Moment"	68	58	55	0.000406	0.31	0.741	9.75e-05	0.107	-5.137	0.0366	120.065	0.289
"29"	45	"The Clash"	"London Calling"	"London Calling - Remastered"	75	69	71	0.123	0.651	0.801	0	0.0825	-7.34	0.0513	133.763	0.776
"30"	45	"OneRepublic"	"Rescue Me"	"Rescue Me"	85	77	86	0.156	0.759	0.605	0	0.694	-7.737	0.0433	121.049	0.64
"31"	45	"The Ting Tings"	"We Started Nothing"	"That's Not My Name"	57	51	51	0.0451	0.755	0.901	0.0373	0.363	-3.152	0.0893	145.042	0.959
"32"	48	"Paul McCartney"	"Egypt Station"	"Who Cares"	75	56	46	0.0482	0.765	0.757	0.0976	0.135	-7.561	0.0361	128.027	0.401
"33"	44	"Space"	"Tin Planet"	"Begin Again"	41	29	27	0.0938	0.597	0.635	0	0.364	-8.139	0.0329	122.003	0.675
"34"	40	"Whitney Houston"	"Whitney"	"I Wanna Dance with Somebody (Who Loves Me)"	79	73	80	0.207	0.709	0.824	0.000307	0.0888	-8.824	0.0453	118.814	0.867
"35"	38	"Elton John"	"Rocketman (Music From The Motion Picture)"	"(I'm Gonna) Love Me Again"	86	74	59	0.0576	0.596	0.882	0	0.0757	-3.559	0.0341	127.993	0.846
"36"	38	"The Heavy"	"The House That Dirt Built"	"How You Like Me Now"	65	57	60	0.000973	0.647	0.71	0.703	0.0777	-4.692	0.029	110.059	0.268
"37"	40	"Justin Timberlake"	"Justified"	"Señorita"	83	72	67	0.0729	0.841	0.629	0	0.0742	-5.351	0.0442	97.963	0.87
"38"	36	"Tom Walker"	"Not Giving In"	"Not Giving In"	80	54	63	0.632	0.471	0.724	0	0.109	-7.174	0.0873	159.961	0.485
"39"	36	"No Doubt"	"The Singles Collection"	"It's My Life"	71	46	48	0.00264	0.606	0.75	0.000788	0.321	-4.535	0.0306	126.316	0.771
"40"	38	"Vampire Weekend"	"Father of the Bride"	"This Life"	81	80	72	0.228	0.62	0.712	3.39e-06	0.0561	-6.434	0.1	170.234	0.83
"41"	38	"Dua Lipa"	"Dua Lipa (Deluxe)"	"IDGAF"	89	82	84	0.0403	0.836	0.544	0	0.0824	-5.975	0.0943	97.028	0.51
"42"	38	"The Strumbellas"	"Rattlesnake"	"Salvation"	64	57	61	0.00599	0.609	0.861	0	0.0924	-5.26	0.0927	139.914	0.53
"43"	38	"En Vogue"	"Funky Divas"	"Free Your Mind"	61	53	51	0.0894	0.765	0.831	0	0.393	-6.522	0.0565	100.026	0.809
"44"	37	"The Rolling Stones"	"Bridges To Bremen (Live)"	"Anybody Seen My Baby? - Live"	83	0	32	0.248	0.482	0.843	0.000103	0.69	-5.762	0.0772	112.06	0.429
"45"	37	"Jamiroquai"	"A funk odyssey"	"Love Foolosophy (with Beverley Knight) - Radio Edit"	71	61	56	0.0119	0.799	0.69	2.87e-05	0.133	-4.998	0.0749	129.297	0.896
"46"	38	"Switchfoot"	"NATIVE TONGUE"	"NATIVE TONGUE"	65	56	55	0.00434	0.586	0.895	0	0.37	-5.223	0.117	127.998	0.312
"47"	36	"Joey Tempest"	"The One In The Glass"	"The One In The Glass"	31	3	4	0.0182	0.781	0.729	0.0108	0.119	-7.217	0.0413	120.077	0.802
"48"	36	"Cheryl Lynn"	"Cheryl Lynn (Expanded Edition)"	"Got to Be Real"	55	53	60	0.0943	0.836	0.626	0.742	0.153	-10.143	0.0335	114.657	0.898
